"Study.Area","Year","Month","Day","Visit.Start.Date","Visit.Start.Time","Air.Temperature..C.","Field.Observer.Name","UTM.Zone","UTM.Easting","UTM.Northing","Longitude..DD.","Latitude..DD.","Geographic.Coordinate.Source","Species.Code","Count","Survey.Observation.Note","Det.Type","Life.Stage.Code","Activity.Code","Feature.Type","Sign.Type.Code","Sign.Count","Adult.Males","Adult.Females","Adults...Unclassified.Sex","Eggs","Egg.Masses","Larvae"
"Yellow Point Bog Ecological Reserve",2014,4,2,"2014-04-02",1030,NA,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-AMGR",1,"egg mass - early development","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2014,4,2,"2014-04-02",1030,NA,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-AMGR",1,"egg mass - early development","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2020,4,24,"2020-04-24",1145,13,"Erica Mcclaren",10,442212,5433635,-123.79091,49.05288,"Transect - Start","A-AMGR",3,"3 egg masses were observed","VI","","","","",NA,NA,NA,NA,NA,3,NA
"Yellow Point Bog Ecological Reserve",2020,4,24,"2020-04-24",1130,13,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-AMGR",1,"1 egg mass was observed","VI","","","","",NA,NA,NA,NA,NA,1,NA
"Yellow Point Bog Ecological Reserve",2018,4,17,"2018-04-17",1153,12,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2016,5,9,"2016-05-09",923,NA,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2016,5,9,"2016-05-09",941,NA,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2016,5,9,"2016-05-09",942,NA,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2016,5,9,"2016-05-09",947,NA,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2017,4,15,"2017-04-15",0,17,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2017,4,15,"2017-04-15",0,17,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2018,4,23,"2018-04-23",1140,NA,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",2,"","VI","","","","",NA,NA,NA,NA,2,NA,NA
"Misty Lake Ecological Reserve",2018,4,23,"2018-04-23",1215,NA,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Misty Lake Ecological Reserve",2019,3,20,"2019-03-20",1553,18,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",40,"","VI","","","","",NA,NA,NA,NA,40,NA,NA
"Misty Lake Ecological Reserve",2019,3,20,"2019-03-20",1607,18,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-AMGR",80,"","VI","","","","",NA,NA,NA,NA,80,NA,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-AMGR",8,"8 Egg masses.","VI","","","","",NA,NA,NA,NA,NA,8,NA
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-AMGR",8,"","VI","","","","",NA,NA,NA,NA,8,NA,NA
"Call Lake Park",2016,4,25,"2016-04-25",940,6,"Gavin Olesiuk",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-AMMA",1,"Low density individual egg mass","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Call Lake Park",2016,4,25,"2016-04-25",940,6,"Gavin Olesiuk",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-AMMA",8,"Located along Lakeshore GPS Waypoint 36 (Darren Fillier)","VI","","","","",NA,NA,NA,NA,8,NA,NA
"Call Lake Park",2016,4,25,"2016-04-25",940,6,"Gavin Olesiuk",9,623014,6069830,-127.08821,54.76062,"Transect - Start","AMPHIBIA",1,"Unidentified, quickly burrowed into vegetation","VI","UC","","","",NA,NA,NA,NA,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2016,4,6,"2016-04-06",1243,13,"Rob Waters",10,442207,5433649,-123.79099,49.053,"Survey Observation","AMPHIBIA",2,"saw 2 unknown species of adult frogs","VI","","","","",NA,NA,NA,2,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2013,5,16,"2013-05-16",1330,17,"Rob Waters",10,442212,5433635,-123.79091,49.05288,"Transect - Start","AMPHIBIA",3,"3 unident small frogs lept or submerged with a chirp.  Knocking of 1 Piliated woodpecker and 1 chatter of Douglas squirrel noted. Stickle back.","VI","","","","",NA,NA,NA,3,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2013,5,16,"2013-05-16",1400,17,"Rob Waters",10,441986,5433798,-123.79403,49.05432,"Transect - Start","AMPHIBIA",2,"Several unident small frogs lept of otherwise submerged with a chirp. Count not given.   1 Douglas squirrel noted ~30 m west of site.","VI","","","","",NA,NA,NA,2,NA,NA,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","AMPHIBIA",1,"Egg masses.  A-AMMA or A-PSRE.","VI","","","","",NA,NA,NA,NA,NA,1,NA
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","AMPHIBIA",63,"Long-toed salamander or Pacific treefrog","VI","","","","",NA,NA,NA,NA,63,NA,NA
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","AMPHIBIA",7,"Unknown small egg mass. Old and deteriorated","VI","","","","",NA,NA,NA,NA,7,NA,NA
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","AMPHIBIA",4,"Unknown small egg mass.  Possibly Red-legged Frog? Old and deteriorated","VI","","","","",NA,NA,NA,NA,4,NA,NA
"Burges James Gadsden Park",2015,5,28,"2015-05-28",0,15,"Brett Yeates",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",1,"* Water depth within transect was 30cm deep on average; *overall water level within wetland above average; Unkown egg masses, in transect","VI","","","","",NA,NA,NA,NA,1,1,NA
"Big Bar Lake Park",2019,7,19,"2019-07-19",0,16,"Kyla Roorda",10,582342,5685947,-121.81839,51.31886,"Transect - Start","AMPHIBIA",200,"Tadpole","VI","","","","",NA,NA,NA,NA,NA,NA,200
"Big Bar Lake Park",2019,7,19,"2019-07-19",0,16,"Kyla Roorda",10,582342,5685947,-121.81839,51.31886,"Transect - Start","AMPHIBIA",2,"Tadpole","VI","","","","",NA,NA,NA,NA,NA,NA,2
"Big Bar Lake Park",2019,7,19,"2019-07-19",0,16,"Kyla Roorda",10,582342,5685947,-121.81839,51.31886,"Transect - Start","AMPHIBIA",500,"Tadpole","VI","","","","",NA,NA,NA,NA,NA,NA,500
"Big Bar Lake Park",2019,7,19,"2019-07-19",0,16,"Kyla Roorda",10,582342,5685947,-121.81839,51.31886,"Transect - Start","AMPHIBIA",200,"Tadpole","VI","","","","",NA,NA,NA,NA,NA,NA,200
"Big Bar Lake Park",2019,7,19,"2019-07-19",0,16,"Kyla Roorda",10,582342,5685947,-121.81839,51.31886,"Transect - Start","AMPHIBIA",2,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"** taken from waterfowl datasheet surveyed same date and time: 'Mix of sun and cloud, no wind, 20 C","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Nazko Lake Park",2015,5,25,"2015-05-25",1200,20,"Chris Armstrong",10,459805,5801900,-123.59033,52.3659,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,454201,5449135,-117.6286,49.1933,"Survey Observation","A-RALU",2,"Small","VI","","","","",NA,NA,NA,2,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,454181,5449116,-117.62887,49.19313,"Survey Observation","A-RALU",1,"Small","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,454181,5449116,-117.62887,49.19313,"Survey Observation","A-RALU",1,"Small","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,454170,5449107,-117.62902,49.19305,"Survey Observation","A-RALU",1,"Large","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,453984,5448995,-117.63156,49.19203,"Survey Observation","A-RALU",3,"Medium","VI","","","","",NA,NA,NA,3,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,453975,5448902,-117.63167,49.19119,"Survey Observation","A-RALU",1,"Large","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,454082,5448986,-117.63022,49.19195,"Survey Observation","A-RALU",1,"Small","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2016,5,13,"2016-05-13",0,16,"Dave Heagy",11,454513,5448228,-117.62421,49.18517,"Survey Observation","A-RALU",2,"Medium","VI","","","","",NA,NA,NA,2,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454255,5449082,-117.62785,49.19283,"Survey Observation","A-RALU",1,"Med","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454473,5448790,-117.62483,49.19022,"Survey Observation","A-RALU",1,"Med","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454578,5448443,-117.62335,49.18711,"Survey Observation","A-RALU",1,"Large","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454285,5448785,-117.62741,49.19016,"Survey Observation","A-RALU",1,"Med","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454098,5448931,-117.62999,49.19146,"Survey Observation","A-RALU",1,"Med","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454213,5449123,-117.62843,49.1932,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454184,5449113,-117.62883,49.1931,"Survey Observation","A-RALU",1,"Small","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454202,5449134,-117.62859,49.1933,"Survey Observation","A-RALU",1,"Med","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-RALU",80,"Large egg mass floating on surface","VI","","","","",NA,NA,NA,NA,80,NA,NA
"Big Bar Lake Park",2019,7,19,"2019-07-19",0,16,"Kyla Roorda",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Big Bar Lake Park",2019,7,19,"2019-07-19",0,16,"Kyla Roorda",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-RALU",2,"Tadpole","VI","","","","",NA,NA,NA,NA,NA,NA,2
"Lac du Bois Protected Area",2020,6,21,"2020-06-21",1200,NA,"Sienna Hoffos",10,676742,5633953,-120.4902,50.83027,"Transect - Start","A-RALU",5,"See pictures - varying sizes","VI","","","","",NA,NA,NA,5,NA,NA,NA
"Mahoney Lake Ecological Reserve",2016,4,20,"2016-04-20",2030,17,"Sara Bunge",11,312094,5462375,-119.58395,49.28521,"Transect - Start","A-SPIN",1,"Count not given.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2017,4,18,"2017-04-18",1300,11,"Erica Mcclaren",10,442212,5433624,-123.79091,49.05278,"Survey Observation","NULL",0,"","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Call Lake Park",2017,4,5,"2017-04-05",950,2,"Darren Fillier",9,623014,6069830,-127.08821,54.76062,"Transect - Start","NULL",0,"Minimal background noise, train, traffic, songbirds.","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Naikoon Park",2015,5,14,"2015-05-14",0,18,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","NULL",0,"No amphibians heard","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Naikoon Park",2017,3,28,"2017-03-28",0,NA,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","NULL",0,"No amphibians were observed visually","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Champion Lakes Park",2017,6,17,"2017-06-17",830,10,"Dave Heagy",11,454213,5449123,-117.62843,49.1932,"Transect - Start","NULL",0,"No amphibians were heard","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2017,6,22,"2017-06-22",1135,14,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2017,6,22,"2017-06-22",1135,14,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"No amphibians were observed","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2016,6,10,"2016-06-10",1000,NA,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2016,6,10,"2016-06-10",1000,NA,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2018,5,15,"2018-05-15",1405,16,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Conditions: Broken/Light S Breeze/No Precipitation/ 16?C.  No amphibians observed.","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2018,5,15,"2018-05-15",1405,16,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Conditions: Broken/Light S Breeze/No Precipitation/ 16?C.  No amphibians observed.","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Nazko Lake Park",2018,5,28,"2018-05-28",0,16,"Karen Mohr",10,459805,5801900,-123.59033,52.3659,"Transect - Start","NULL",0,"No juvenile, adult or egg masses seen.","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2015,5,17,"2015-05-17",959,NA,"Gerald Nyce",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"no amphibians observed","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2015,5,17,"2015-05-17",959,NA,"Gerald Nyce",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"no amphibians observed","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Misty Lake Ecological Reserve",2015,4,15,"2015-04-15",1305,12,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","NULL",0,"","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Misty Lake Ecological Reserve",2015,4,15,"2015-04-15",1305,12,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","NULL",0,"","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Sutton Pass Ecological Reserve",2017,6,21,"2017-06-21",1116,NA,"Erica Mcclaren",10,328999,5461247,-125.35122,49.28004,"Survey Observation","A-PSRE",1,"Count not given; egg masses and tadpoles","VI","","","","",NA,NA,NA,NA,NA,1,1
"Sutton Pass Ecological Reserve",2017,6,21,"2017-06-21",1116,NA,"Erica Mcclaren",10,328999,5461247,-125.35122,49.28004,"Survey Observation","A-PSRE",1,"Count not given; egg masses and tadpoles","VI","","","","",NA,NA,NA,NA,NA,1,1
"Naikoon Park",2018,5,14,"2018-05-14",0,NA,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-PSRE",1,"Count not given.  Scattered cloud >50%; gentle breeze; warm air temp; lots of black flies; water level 30 cm; encountered sandhill crane near the water level marker in the wetland. It would not leave the area and after a few minutes lowered its neck and spread out it's wings towards the ground and came at me at a steady pace. I took this as notice to leave the area immediately. I believe there is a nest in the wetland area and as such will not return to the wetland so as not to disturb the birds. Since mid-April I've also noticed a significant lack of chorsuing and calling from the wetland. END OF MONITORING","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Mahoney Lake Ecological Reserve",2018,5,17,"2018-05-17",2110,14,"Sara Bunge",11,312094,5462375,-119.58395,49.28521,"Transect - Start","A-PSRE",1,"Survey Pt # 1, calling from many locations in SW bay.  Count not given.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Mahoney Lake Ecological Reserve",2018,5,17,"2018-05-17",2120,14,"Sara Bunge",11,312386,5462824,-119.58015,49.28934,"Transect - Start","A-PSRE",1,"Survey Pt # 2, calling from east shore of lake.  Count not given.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Mahoney Lake Ecological Reserve",2018,5,17,"2018-05-17",2151,14,"Sara Bunge",11,312089,5462371,-119.58402,49.28518,"Transect - Start","A-PSRE",1,"1 on road, south end of lake","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Lac du Bois Protected Area",2015,6,4,"2015-06-04",1230,NA,"Sarma Liepins",10,676742,5633953,-120.4902,50.83027,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"White Lake Park",2018,6,25,"2018-06-25",0,NA,"Andrea Zemanek",11,342052,5639002,-119.24533,50.88108,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,NA,NA,NA,1
"White Lake Park",2018,6,25,"2018-06-25",0,NA,"Andrea Zemanek",11,342052,5639002,-119.24533,50.88108,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,NA,NA,NA,1
"White Lake Park",2018,6,25,"2018-06-25",0,NA,"Andrea Zemanek",11,342052,5639002,-119.24533,50.88108,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,NA,NA,NA,1
"White Lake Park",2019,8,20,"2019-08-20",0,29,"Britt Mcleod",11,342052,5639002,-119.24533,50.88108,"Transect - Start","A-PSRE",1,"Frog with 3 legs - inside bay","VI","","","","",NA,NA,NA,1,NA,NA,NA
"White Lake Park",2019,8,20,"2019-08-20",0,29,"Britt Mcleod",11,342052,5639002,-119.24533,50.88108,"Transect - Start","A-PSRE",1,"inside bay","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",1,"Lots of aquatic insects","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",1,"toadlet","VI","YOY","","","",NA,NA,NA,1,NA,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",20,"late stage","VI","","","","",NA,NA,NA,NA,20,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",10,"late stage","VI","","","","",NA,NA,NA,NA,10,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",30,"","VI","","","","",NA,NA,NA,NA,30,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",10,"","VI","","","","",NA,NA,NA,NA,10,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Call Lake Park",2015,5,7,"2015-05-07",1520,NA,"Peter Crawford",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Lac du Bois Protected Area",2015,6,4,"2015-06-04",1230,NA,"Sarma Liepins",10,676742,5633953,-120.4902,50.83027,"Transect - Start","A-ANBO",1,"Western Toad was at 50?49'44.7'N 120?29'10.5'W observed on our approach to the wetland","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Wells Gray Park",2020,7,30,"2020-07-30",950,21,"Renee Larsen",10,676143,6216606,-120.17076,56.06215,"Transect - Start","A-ANBO",150,"","VI","","","","",NA,NA,NA,NA,NA,NA,150
"Wells Gray Park",2020,7,30,"2020-07-30",958,21,"Renee Larsen",10,676143,6216606,-120.17076,56.06215,"Transect - Start","A-ANBO",8,"","VI","","","","",NA,NA,NA,8,NA,NA,NA
"Wells Gray Park",2018,7,6,"2018-07-06",1157,20,"Vladi Gat",10,692632,5775967,-120.18743,52.10067,"Transect - Start","A-ANBO",1,"large adult, appeared to be western toad","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Wells Gray Park",2018,7,6,"2018-07-06",1250,20,"Vladi Gat",10,692632,5775967,-120.18743,52.10067,"Transect - Start","A-ANBO",1000,"","VI","","","","",NA,NA,NA,NA,NA,NA,1000
"Naikoon Park",2018,5,14,"2018-05-14",0,NA,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-RAAU",0,"","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Sutton Pass Ecological Reserve",2020,6,3,"2020-06-03",1302,NA,"Marty Mellway",10,328999,5461247,-125.35122,49.28004,"Transect - Start","A-RAAU",64,"Small Tadpole, Likely Red Legged Frog","VI","","","","",NA,NA,NA,NA,NA,NA,63
"Sutton Pass Ecological Reserve",2017,6,21,"2017-06-21",1116,NA,"Erica Mcclaren",10,328999,5461247,-125.35122,49.28004,"Survey Observation","A-AMGR",2,"Count not given; egg masses and tadpoles","VI","","","","",NA,NA,NA,NA,NA,1,1
"Brandywine Falls Park",2015,5,1,"2015-05-01",1240,NA,"Joanna Hirner",10,491538,5543851,-123.11819,50.04689,"Transect - Start","A-AMGR",2,"CWH; wind speed = 1.","VI","","","","",NA,NA,NA,NA,2,NA,NA
"Brandywine Falls Park",2015,5,1,"2015-05-01",1240,NA,"Joanna Hirner",10,491538,5543851,-123.11819,50.04689,"Transect - Start","A-AMGR",7,"CWH; wind speed = 2.","VI","","","","",NA,NA,NA,NA,7,NA,NA
"Brandywine Falls Park",2015,5,1,"2015-05-01",1240,NA,"Joanna Hirner",10,491538,5543851,-123.11819,50.04689,"Transect - Start","A-AMGR",2,"CWH; wind speed = 2.","VI","","","","",NA,NA,NA,NA,2,NA,NA
"Brandywine Falls Park",2015,5,1,"2015-05-01",1240,NA,"Joanna Hirner",10,491538,5543851,-123.11819,50.04689,"Transect - Start","A-AMGR",1,"CWH; wind speed = 6.","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Burges James Gadsden Park",2018,6,13,"2018-06-13",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",150,"have pictures","VI","","","","",NA,NA,NA,NA,NA,NA,150
"Burges James Gadsden Park",2018,6,13,"2018-06-13",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",150,"","VI","","","","",NA,NA,NA,NA,NA,NA,150
"Burges James Gadsden Park",2018,6,13,"2018-06-13",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",300,"","VI","","","","",NA,NA,NA,NA,NA,NA,300
"Burges James Gadsden Park",2018,6,13,"2018-06-13",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",600,"","VI","","","","",NA,NA,NA,NA,NA,NA,600
"Burges James Gadsden Park",2018,6,13,"2018-06-13",103,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",1,"","VI","","","","",NA,NA,NA,NA,NA,NA,1
